"filename", "language", "C#", "XML", "JSON", "C# (Unity)", "ShaderLab", "comment", "blank", "total"
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\OnStartDelete.cs", "C#", 11, 0, 0, 0, 0, 11, 2, 24
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\TextButtonTransition.cs", "C#", 38, 0, 0, 0, 0, 20, 12, 70
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\TextToggleIsOnTransition.cs", "C#", 41, 0, 0, 0, 0, 26, 19, 86
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\AppSettingsExtensions.cs", "C#", 17, 0, 0, 0, 0, 0, 2, 19
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\ChannelSelector.cs", "C#", 19, 0, 0, 0, 0, 0, 4, 23
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\ChatAppIdCheckerUI.cs", "C#", 32, 0, 0, 0, 0, 10, 7, 49
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\ChatGui.cs", "C#", 459, 0, 0, 0, 0, 70, 117, 646
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\DemoChat-Scene.unity", "C# (Unity)", 0, 0, 0, 6243, 0, 0, 4, 6247
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\FriendItem.cs", "C#", 64, 0, 0, 0, 0, 5, 12, 81
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\IgnoreUiRaycastWhenInactive.cs", "C#", 8, 0, 0, 0, 0, 0, 2, 10
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\NamePickGui.cs", "C#", 33, 0, 0, 0, 0, 1, 10, 44
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\Photon3Unity3D.xml", "XML", 0, 2639, 0, 0, 0, 0, 72, 2711
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\WebSocket\SocketWebTcp.cs", "C#", 209, 0, 0, 0, 0, 27, 47, 283
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\WebSocket\WebSocket.cs", "C#", 136, 0, 0, 0, 0, 8, 33, 177
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\netstandard2.0\Photon3Unity3D.deps.json", "JSON", 0, 0, 47, 0, 0, 0, 0, 47
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\netstandard2.0\Photon3Unity3D.xml", "XML", 0, 2639, 0, 0, 0, 0, 72, 2711
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\AppSettings.cs", "C#", 85, 0, 0, 0, 0, 50, 19, 154
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\ConnectionHandler.cs", "C#", 124, 0, 0, 0, 0, 25, 37, 186
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Extensions.cs", "C#", 121, 0, 0, 0, 0, 65, 30, 216
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\FriendInfo.cs", "C#", 27, 0, 0, 0, 0, 12, 10, 49
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\LoadBalancingClient.cs", "C#", 451, 0, 0, 0, 0, 3572, 173, 4196
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\LoadbalancingPeer.cs", "C#", 1053, 0, 0, 0, 0, 749, 389, 2191
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\PhotonPing.cs", "C#", 369, 0, 0, 0, 0, 32, 76, 477
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\PhotonPingClasses.cs", "C#", 0, 0, 0, 0, 0, 1, 0, 1
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Player.cs", "C#", 230, 0, 0, 0, 0, 164, 58, 452
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Region.cs", "C#", 63, 0, 0, 0, 0, 10, 17, 90
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\RegionHandler.cs", "C#", 479, 0, 0, 0, 0, 83, 106, 668
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Room.cs", "C#", 293, 0, 0, 0, 0, 201, 65, 559
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\RoomInfo.cs", "C#", 142, 0, 0, 0, 0, 89, 44, 275
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\SupportLogger.cs", "C#", 306, 0, 0, 0, 0, 30, 63, 399
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\WebRpc.cs", "C#", 123, 0, 0, 0, 0, 44, 21, 188
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Demos\DemoLoadBalancing\ConnectAndJoinRandomLb.cs", "C#", 110, 0, 0, 0, 0, 3, 28, 141
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Demos\DemoLoadBalancing\DemoLoadBalancing-Scene.unity", "C# (Unity)", 0, 0, 0, 711, 0, 0, 1, 712
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\CustomTypes.cs", "C#", 131, 0, 0, 0, 0, 14, 32, 177
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\AccountService.cs", "C#", 195, 0, 0, 0, 0, 36, 23, 254
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonEditor.cs", "C#", 590, 0, 0, 0, 0, 47, 149, 786
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonEditorUtils.cs", "C#", 215, 0, 0, 0, 0, 45, 44, 304
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonGUI.cs", "C#", 273, 0, 0, 0, 0, 11, 79, 363
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonViewHandler.cs", "C#", 123, 0, 0, 0, 0, 28, 37, 188
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonViewInspector.cs", "C#", 281, 0, 0, 0, 0, 38, 67, 386
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PunSceneSettings.cs", "C#", 131, 0, 0, 0, 0, 16, 31, 178
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PunSceneSettingsInspector.cs", "C#", 186, 0, 0, 0, 0, 18, 56, 260
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\ReordableList\ReorderableListResources.cs", "C#", 134, 0, 0, 0, 0, 71, 32, 237
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\ServerSettingsInspector.cs", "C#", 219, 0, 0, 0, 0, 15, 68, 302
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\MonoBehaviourPunEditor.cs", "C#", 23, 0, 0, 0, 0, 9, 9, 41
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\PhotonAnimatorViewEditor.cs", "C#", 227, 0, 0, 0, 0, 14, 55, 296
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\PhotonRigidbody2DViewEditor.cs", "C#", 31, 0, 0, 0, 0, 9, 10, 50
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\PhotonRigidbodyViewEditor.cs", "C#", 31, 0, 0, 0, 0, 9, 10, 50
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\PhotonTransformViewClassicEditor.cs", "C#", 297, 0, 0, 0, 0, 34, 81, 412
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\PhotonTransformViewEditor.cs", "C#", 32, 0, 0, 0, 0, 9, 11, 52
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Enums.cs", "C#", 27, 0, 0, 0, 0, 49, 18, 94
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PhotonHandler.cs", "C#", 250, 0, 0, 0, 0, 48, 75, 373
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PhotonNetwork.cs", "C#", 1631, 0, 0, 0, 0, 1166, 375, 3172
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PhotonNetworkPart.cs", "C#", 1680, 0, 0, 0, 0, 417, 387, 2484
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PhotonStreamQueue.cs", "C#", 113, 0, 0, 0, 0, 52, 32, 197
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PhotonView.cs", "C#", 499, 0, 0, 0, 0, 216, 126, 841
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PunClasses.cs", "C#", 531, 0, 0, 0, 0, 457, 113, 1101
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\ServerSettings.cs", "C#", 62, 0, 0, 0, 0, 23, 15, 100
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Utilities\NestedComponentUtilities.cs", "C#", 221, 0, 0, 0, 0, 84, 81, 386
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Views\PhotonAnimatorView.cs", "C#", 408, 0, 0, 0, 0, 68, 96, 572
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Views\PhotonRigidbody2DView.cs", "C#", 79, 0, 0, 0, 0, 9, 23, 111
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Views\PhotonRigidbodyView.cs", "C#", 80, 0, 0, 0, 0, 9, 23, 112
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Views\PhotonTransformView.cs", "C#", 98, 0, 0, 0, 0, 9, 24, 131
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Views\PhotonTransformViewClassic.cs", "C#", 389, 0, 0, 0, 0, 70, 98, 557
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scenes\DemoAsteroids-GameScene.unity", "C# (Unity)", 0, 0, 0, 4053, 0, 0, 1, 4054
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scenes\DemoAsteroids-LobbyScene.unity", "C# (Unity)", 0, 0, 0, 5045, 0, 0, 1, 5046
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\AsteroidsGame.cs", "C#", 29, 0, 0, 0, 0, 0, 6, 35
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game\Asteroid.cs", "C#", 88, 0, 0, 0, 0, 10, 25, 123
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game\AsteroidsGameManager.cs", "C#", 192, 0, 0, 0, 0, 17, 58, 267
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game\Bullet.cs", "C#", 25, 0, 0, 0, 0, 0, 6, 31
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game\PlayerOverviewPanel.cs", "C#", 44, 0, 0, 0, 0, 9, 14, 67
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game\Spaceship.cs", "C#", 146, 0, 0, 0, 0, 19, 49, 214
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Lobby\LobbyMainPanel.cs", "C#", 282, 0, 0, 0, 0, 3, 76, 361
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Lobby\LobbyTopPanel.cs", "C#", 17, 0, 0, 0, 0, 0, 5, 22
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Lobby\PlayerListEntry.cs", "C#", 72, 0, 0, 0, 0, 9, 16, 97
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Lobby\RoomListEntry.cs", "C#", 29, 0, 0, 0, 0, 0, 6, 35
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoHub\DemoHub-Scene.unity", "C# (Unity)", 0, 0, 0, 10191, 0, 0, 4, 10195
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoHub\Editor\PunStartup.cs", "C#", 109, 0, 0, 0, 0, 18, 26, 153
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoHub\Scripts\DemoHubManager.cs", "C#", 258, 0, 0, 0, 0, 11, 42, 311
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoHub\Scripts\ToDemoHubButton.cs", "C#", 58, 0, 0, 0, 0, 13, 22, 93
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Procedural-Scene.unity", "C# (Unity)", 0, 0, 0, 4439, 0, 0, 1, 4440
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\Block.cs", "C#", 9, 0, 0, 0, 0, 4, 1, 14
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\Cluster.cs", "C#", 100, 0, 0, 0, 0, 42, 36, 178
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\IngameControlPanel.cs", "C#", 219, 0, 0, 0, 0, 29, 21, 269
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\Noise.cs", "C#", 273, 0, 0, 0, 0, 66, 54, 393
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\ProceduralController.cs", "C#", 63, 0, 0, 0, 0, 9, 11, 83
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\WorldGenerator.cs", "C#", 184, 0, 0, 0, 0, 48, 57, 289
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\Bezier.cs", "C#", 41, 0, 0, 0, 0, 10, 5, 56
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\BezierControlPointMode.cs", "C#", 8, 0, 0, 0, 0, 10, 1, 19
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\BezierCurve.cs", "C#", 29, 0, 0, 0, 0, 10, 6, 45
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\BezierSpline.cs", "C#", 263, 0, 0, 0, 0, 22, 47, 332
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\Editor\BezierCurveInspector.cs", "C#", 54, 0, 0, 0, 0, 10, 9, 73
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\Editor\BezierSplineInspector.cs", "C#", 127, 0, 0, 0, 0, 10, 17, 154
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\Editor\LineInspector.cs", "C#", 33, 0, 0, 0, 0, 10, 4, 47
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\Line.cs", "C#", 7, 0, 0, 0, 0, 10, 2, 19
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\SplinePosition.cs", "C#", 34, 0, 0, 0, 0, 11, 12, 57
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\SplineWalker.cs", "C#", 36, 0, 0, 0, 0, 13, 15, 64
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\PlayerControl.cs", "C#", 116, 0, 0, 0, 0, 72, 44, 232
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\SlotLanes.cs", "C#", 13, 0, 0, 0, 0, 19, 6, 38
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\SlotRacerSplashScreen.cs", "C#", 70, 0, 0, 0, 0, 13, 13, 96
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\SlotCar-Scene.unity", "C# (Unity)", 0, 0, 0, 18967, 0, 0, 1, 18968
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scenes\PunBasics-Launcher.unity", "C# (Unity)", 0, 0, 0, 4644, 0, 0, 1, 4645
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scenes\PunBasics-Room for 1.unity", "C# (Unity)", 0, 0, 0, 1187, 0, 0, 1, 1188
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scenes\PunBasics-Room for 2.unity", "C# (Unity)", 0, 0, 0, 1187, 0, 0, 1, 1188
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scenes\PunBasics-Room for 3.unity", "C# (Unity)", 0, 0, 0, 1187, 0, 0, 1, 1188
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scenes\PunBasics-Room for 4.unity", "C# (Unity)", 0, 0, 0, 1187, 0, 0, 1, 1188
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scripts\CameraWork.cs", "C#", 70, 0, 0, 0, 0, 30, 30, 130
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scripts\GameManager.cs", "C#", 93, 0, 0, 0, 0, 35, 46, 174
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scripts\Launcher.cs", "C#", 101, 0, 0, 0, 0, 77, 48, 226
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scripts\LoaderAnime.cs", "C#", 45, 0, 0, 0, 0, 33, 23, 101
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scripts\PlayerAnimatorManager.cs", "C#", 42, 0, 0, 0, 0, 23, 16, 81
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scripts\PlayerManager.cs", "C#", 173, 0, 0, 0, 0, 67, 49, 289
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scripts\PlayerNameInputField.cs", "C#", 39, 0, 0, 0, 0, 21, 15, 75
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scripts\PlayerUI.cs", "C#", 73, 0, 0, 0, 0, 35, 39, 147
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Forms\ConnectToRegionUIForm.cs", "C#", 36, 0, 0, 0, 0, 10, 11, 57
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Forms\CreateRoomUiForm.cs", "C#", 48, 0, 0, 0, 0, 10, 13, 71
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Forms\LoadLevelUIForm.cs", "C#", 28, 0, 0, 0, 0, 10, 9, 47
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Forms\SetRoomCustomPropertyUIForm.cs", "C#", 28, 0, 0, 0, 0, 10, 9, 47
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Forms\UserIdUiForm.cs", "C#", 34, 0, 0, 0, 0, 10, 10, 54
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\PunCockpit-Scene.unity", "C# (Unity)", 0, 0, 0, 72850, 0, 0, 21, 72871
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\PunCockpit.cs", "C#", 560, 0, 0, 0, 0, 38, 209, 807
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Autonomous UI\AutoSyncSceneToggle.cs", "C#", 39, 0, 0, 0, 0, 11, 11, 61
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Autonomous UI\BackgroundTimeOutField.cs", "C#", 48, 0, 0, 0, 0, 11, 9, 68
"f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Autonomous UI\CrcCheckToggle.cs", "C#", 39, 0, 0, 0, 0, 11, 11, 61
