Date : 2020-08-25 23:27:06
Directory : f:\SimpleRTS\SimpleRTS\Simplified_RTS
Total : 391 files,  234710 codes, 22577 comments, 16671 blanks, all 273958 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| Assets\Photon\PhotonUnityNetworking\Code\Editor                                                                                                                     |         16 |      2,988 |        409 |        762 |      4,159 |
| Assets\Photon\PhotonUnityNetworking\Code\Editor\ReordableList                                                                                                       |          1 |        134 |         71 |         32 |        237 |
| Assets\Photon\PhotonUnityNetworking\Code\Editor\Views                                                                                                               |          6 |        641 |         84 |        176 |        901 |
| Assets\Photon\PhotonUnityNetworking\Code\Utilities                                                                                                                  |          1 |        221 |         84 |         81 |        386 |
| Assets\Photon\PhotonUnityNetworking\Code\Views                                                                                                                      |          5 |      1,054 |        165 |        264 |      1,483 |
| Assets\Photon\PhotonUnityNetworking\Demos                                                                                                                           |        119 |    132,028 |      1,638 |      2,011 |    135,677 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids                                                                                                             |         12 |     10,022 |         67 |        263 |     10,352 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scenes                                                                                                      |          2 |      9,098 |          0 |          2 |      9,100 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts                                                                                                     |         10 |        924 |         67 |        261 |      1,252 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game                                                                                                |          5 |        495 |         55 |        152 |        702 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Lobby                                                                                               |          4 |        400 |         12 |        103 |        515 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoHub                                                                                                                   |          4 |     10,616 |         42 |         94 |     10,752 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoHub\Editor                                                                                                            |          1 |        109 |         18 |         26 |        153 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoHub\Scripts                                                                                                           |          2 |        316 |         24 |         64 |        404 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural                                                                                                            |          7 |      5,287 |        198 |        181 |      5,666 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts                                                                                                    |          6 |        848 |        198 |        180 |      1,226 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer                                                                                                             |         14 |     19,798 |        220 |        182 |     20,200 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts                                                                                                     |         13 |        831 |        220 |        181 |      1,232 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve                                                                                         |         10 |        632 |        116 |        118 |        866 |
| Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\Editor                                                                                  |          3 |        214 |         30 |         30 |        274 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial                                                                                                        |         13 |     10,028 |        321 |        271 |     10,620 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scenes                                                                                                 |          5 |      9,392 |          0 |          5 |      9,397 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunBasics-Tutorial\Scripts                                                                                                |          8 |        636 |        321 |        266 |      1,223 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit                                                                                                                |         64 |     75,887 |        666 |        946 |     77,499 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Forms                                                                                                          |          5 |        174 |         50 |         52 |        276 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts                                                                                                        |         57 |      2,303 |        578 |        664 |      3,545 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Autonomous UI                                                                                          |         16 |        609 |        163 |        155 |        927 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Autonomous UI\CurrentRoom                                                                              |          2 |         86 |         20 |         25 |        131 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Autonomous UI\Generic                                                                                  |          4 |        154 |         36 |         41 |        231 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Controllers                                                                                            |          1 |        157 |         14 |         62 |        233 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\Lists                                                                                                  |          9 |        682 |        114 |        242 |      1,038 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\PropertyFields                                                                                         |          1 |         49 |         11 |         11 |         71 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\ReadOnlyProperties                                                                                     |         27 |        718 |        243 |        147 |      1,108 |
| Assets\Photon\PhotonUnityNetworking\Demos\PunCockpit\Scripts\ThirdParty                                                                                             |          1 |         55 |         17 |         30 |        102 |
| Assets\Photon\PhotonUnityNetworking\Demos\Shared Assets                                                                                                             |          4 |        306 |        105 |         66 |        477 |
| Assets\Photon\PhotonUnityNetworking\Demos\Shared Assets\Scripts                                                                                                     |          3 |        289 |        105 |         65 |        459 |
| Assets\Photon\PhotonUnityNetworking\Demos\Shared Assets\Skin                                                                                                        |          1 |         17 |          0 |          1 |         18 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts                                                                                                                  |         32 |      3,226 |      1,103 |        835 |      5,164 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\Culling                                                                                                          |          3 |        597 |        211 |        169 |        977 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\Culling\Editor                                                                                                   |          1 |        183 |         25 |         57 |        265 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\Debugging                                                                                                        |          4 |        409 |         77 |         85 |        571 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\PhotonPlayer                                                                                                     |          7 |      1,040 |        271 |        180 |      1,491 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\PhotonPlayer\Editor                                                                                              |          3 |        303 |         40 |         35 |        378 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\PhotonView                                                                                                       |          1 |         50 |         15 |          7 |         72 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\Prototyping                                                                                                      |          8 |        565 |        223 |        184 |        972 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\Room                                                                                                             |          1 |        101 |         33 |         42 |        176 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\TurnBased                                                                                                        |          1 |        206 |        146 |         78 |        430 |
| Assets\Photon\PhotonUnityNetworking\UtilityScripts\UI                                                                                                               |          7 |        258 |        127 |         90 |        475 |
| Assets\Plugins                                                                                                                                                      |        106 |     45,801 |     10,420 |      8,998 |     65,219 |
| Assets\Plugins\HoudiniEngineUnity                                                                                                                                   |        106 |     45,801 |     10,420 |      8,998 |     65,219 |
| Assets\Plugins\HoudiniEngineUnity\Editor                                                                                                                            |         20 |      8,326 |      1,356 |      1,886 |     11,568 |
| Assets\Plugins\HoudiniEngineUnity\Editor\UI                                                                                                                         |         17 |      7,943 |      1,236 |      1,813 |     10,992 |
| Assets\Plugins\HoudiniEngineUnity\Scenes                                                                                                                            |          1 |      2,343 |          0 |          1 |      2,344 |
| Assets\Plugins\HoudiniEngineUnity\Scripts                                                                                                                           |         82 |     35,025 |      8,988 |      7,086 |     51,099 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Asset                                                                                                                     |         13 |      7,571 |      1,989 |      1,629 |     11,189 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Attributes                                                                                                                |          4 |        964 |        176 |        188 |      1,328 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Core                                                                                                                      |          8 |      3,773 |      1,008 |        642 |      5,423 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Examples                                                                                                                  |          5 |        518 |        337 |        145 |      1,000 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\HAPI                                                                                                                      |          3 |      2,660 |        279 |        550 |      3,489 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Handles                                                                                                                   |          2 |        372 |         65 |         96 |        533 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\PDG                                                                                                                       |          3 |      1,338 |        342 |        278 |      1,958 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Parameters                                                                                                                |          4 |      1,375 |        318 |        260 |      1,953 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Render                                                                                                                    |          3 |        623 |        179 |        135 |        937 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Sessions                                                                                                                  |          6 |      3,548 |      1,494 |        704 |      5,746 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Sync                                                                                                                      |          3 |        995 |        169 |        262 |      1,426 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Tasks                                                                                                                     |          6 |      1,517 |        391 |        351 |      2,259 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Tests                                                                                                                     |          1 |         18 |         28 |          6 |         52 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Utility                                                                                                                   |         20 |      9,707 |      2,178 |      1,814 |     13,699 |
| Assets\Plugins\HoudiniEngineUnity\Shaders                                                                                                                           |          3 |        107 |         76 |         25 |        208 |
| Assets\Scenes                                                                                                                                                       |          5 |     22,182 |          0 |          5 |     22,187 |
| Assets\Scripts                                                                                                                                                      |         22 |      1,412 |        105 |        387 |      1,904 |
| Assets\Scripts\Controllers                                                                                                                                          |          1 |         26 |          0 |          4 |         30 |
| Assets\Scripts\Controllers\Camera                                                                                                                                   |          1 |         26 |          0 |          4 |         30 |
| Assets\Scripts\Network                                                                                                                                              |          1 |        143 |         12 |         38 |        193 |
| Assets\Scripts\Player                                                                                                                                               |          4 |        409 |         40 |        123 |        572 |
| Assets\Scripts\Render                                                                                                                                               |          1 |         29 |          1 |          5 |         35 |
| Assets\Scripts\UI                                                                                                                                                   |          9 |        301 |          7 |         73 |        381 |
| Assets\Scripts\UI\Local                                                                                                                                             |          3 |        141 |          4 |         32 |        177 |
| Assets\Scripts\UI\Online                                                                                                                                            |          3 |         93 |          3 |         22 |        118 |
| Assets\Scripts\Units                                                                                                                                                |          6 |        504 |         45 |        144 |        693 |
| Assets\Shaders                                                                                                                                                      |          3 |        709 |         92 |        240 |      1,041 |
| Assets\Shaders\Sprites                                                                                                                                              |          2 |        371 |         48 |        136 |        555 |
| Assets\Shaders\TestShader                                                                                                                                           |          1 |        338 |         44 |        104 |        486 |
| Assets\TutorialInfo                                                                                                                                                 |          2 |        138 |          1 |         35 |        174 |
| Assets\TutorialInfo\Scripts                                                                                                                                         |          2 |        138 |          1 |         35 |        174 |
| Assets\TutorialInfo\Scripts\Editor                                                                                                                                  |          1 |        126 |          1 |         32 |        159 |
| Packages                                                                                                                                                            |          2 |        437 |          0 |          2 |        439 |
| ProjectSettings                                                                                                                                                     |          2 |        140 |          0 |          0 |        140 |
| ProjectSettings\Packages                                                                                                                                            |          2 |        140 |          0 |          0 |        140 |
| ProjectSettings\Packages\com.unity.probuilder                                                                                                                       |          1 |        133 |          0 |          0 |        133 |
| ProjectSettings\Packages\com.unity.settings-manager                                                                                                                 |          1 |          7 |          0 |          0 |          7 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                            | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\contentModel.xml                                                                                        | XML        |         42 |          0 |          0 |         42 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\encodings.xml                                                                                           | XML        |          4 |          0 |          0 |          4 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\indexLayout.xml                                                                                         | XML        |         32 |          0 |          0 |         32 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\modules.xml                                                                                             | XML        |          8 |          0 |          0 |          8 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\projectSettingsUpdater.xml                                                                              | XML        |          6 |          0 |          0 |          6 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\.idea\workspace.xml                                                                                           | XML        |         91 |          0 |          0 |         91 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SLG\riderModule.iml                                                                                               | XML        |          7 |          0 |          0 |          7 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\.idea\encodings.xml                                                                                 | XML        |          4 |          0 |          0 |          4 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\.idea\indexLayout.xml                                                                               | XML        |         31 |          0 |          0 |         31 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\.idea\misc.xml                                                                                      | XML        |          6 |          0 |          0 |          6 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.SimplifiedRTS\riderModule.iml                                                                                     | XML        |          7 |          0 |          0 |          7 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\codeStyles\codeStyleConfig.xml                                                               | XML        |          5 |          0 |          0 |          5 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\encodings.xml                                                                                | XML        |          4 |          0 |          0 |          4 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\indexLayout.xml                                                                              | XML        |         34 |          0 |          0 |         34 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\misc.xml                                                                                     | XML        |          6 |          0 |          0 |          6 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\.idea\vcs.xml                                                                                      | XML        |          6 |          0 |          0 |          6 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\.idea\.idea.Simplified_RTS\riderModule.iml                                                                                    | XML        |          7 |          0 |          0 |          7 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChannelCreationOptions.cs                                                                       | C#         |         12 |          8 |          3 |         23 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChannelWellKnownProperties.cs                                                                   | C#         |          8 |          5 |          2 |         15 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatAppSettings.cs                                                                              | C#         |         21 |         20 |         10 |         51 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatChannel.cs                                                                                  | C#         |        131 |         34 |         28 |        193 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatClient.cs                                                                                   | C#         |      1,263 |        338 |        165 |      1,766 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatDisconnectCause.cs                                                                          | C#         |         20 |         21 |          2 |         43 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatEventCode.cs                                                                                | C#         |         17 |         20 |          3 |         40 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatOperationCode.cs                                                                            | C#         |         16 |         18 |          4 |         38 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatParameterCode.cs                                                                            | C#         |         31 |         47 |          7 |         85 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatPeer.cs                                                                                     | C#         |        215 |        148 |         71 |        434 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatState.cs                                                                                    | C#         |         18 |         18 |          1 |         37 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatUserStatus.cs                                                                               | C#         |         13 |         21 |          2 |         36 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\IChatClientListener.cs                                                                          | C#         |         27 |         99 |         22 |        148 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\EventSystemSpawner.cs                                                                   | C#         |         18 |         13 |          3 |         34 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\OnStartDelete.cs                                                                        | C#         |         11 |         11 |          2 |         24 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\TextButtonTransition.cs                                                                 | C#         |         38 |         20 |         12 |         70 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\TextToggleIsOnTransition.cs                                                             | C#         |         41 |         26 |         19 |         86 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\AppSettingsExtensions.cs                                                              | C#         |         17 |          0 |          2 |         19 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\ChannelSelector.cs                                                                    | C#         |         19 |          0 |          4 |         23 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\ChatAppIdCheckerUI.cs                                                                 | C#         |         32 |         10 |          7 |         49 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\ChatGui.cs                                                                            | C#         |        459 |         70 |        117 |        646 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\DemoChat-Scene.unity                                                                  | C# (Unity) |      6,243 |          0 |          4 |      6,247 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\FriendItem.cs                                                                         | C#         |         64 |          5 |         12 |         81 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\IgnoreUiRaycastWhenInactive.cs                                                        | C#         |          8 |          0 |          2 |         10 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\NamePickGui.cs                                                                        | C#         |         33 |          1 |         10 |         44 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\Photon3Unity3D.xml                                                                                   | XML        |      2,639 |          0 |         72 |      2,711 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\WebSocket\SocketWebTcp.cs                                                                            | C#         |        209 |         27 |         47 |        283 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\WebSocket\WebSocket.cs                                                                               | C#         |        136 |          8 |         33 |        177 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\netstandard2.0\Photon3Unity3D.deps.json                                                              | JSON       |         47 |          0 |          0 |         47 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\netstandard2.0\Photon3Unity3D.xml                                                                    | XML        |      2,639 |          0 |         72 |      2,711 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\AppSettings.cs                                                                              | C#         |         85 |         50 |         19 |        154 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\ConnectionHandler.cs                                                                        | C#         |        124 |         25 |         37 |        186 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Extensions.cs                                                                               | C#         |        121 |         65 |         30 |        216 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\FriendInfo.cs                                                                               | C#         |         27 |         12 |         10 |         49 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\LoadBalancingClient.cs                                                                      | C#         |        451 |      3,572 |        173 |      4,196 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\LoadbalancingPeer.cs                                                                        | C#         |      1,053 |        749 |        389 |      2,191 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\PhotonPing.cs                                                                               | C#         |        369 |         32 |         76 |        477 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\PhotonPingClasses.cs                                                                        | C#         |          0 |          1 |          0 |          1 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Player.cs                                                                                   | C#         |        230 |        164 |         58 |        452 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Region.cs                                                                                   | C#         |         63 |         10 |         17 |         90 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\RegionHandler.cs                                                                            | C#         |        479 |         83 |        106 |        668 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Room.cs                                                                                     | C#         |        293 |        201 |         65 |        559 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\RoomInfo.cs                                                                                 | C#         |        142 |         89 |         44 |        275 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\SupportLogger.cs                                                                            | C#         |        306 |         30 |         63 |        399 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\WebRpc.cs                                                                                   | C#         |        123 |         44 |         21 |        188 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Demos\DemoLoadBalancing\ConnectAndJoinRandomLb.cs                                                | C#         |        110 |          3 |         28 |        141 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Demos\DemoLoadBalancing\DemoLoadBalancing-Scene.unity                                            | C# (Unity) |        711 |          0 |          1 |        712 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\CustomTypes.cs                                                                       | C#         |        131 |         14 |         32 |        177 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\AccountService.cs                                                             | C#         |        195 |         36 |         23 |        254 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonEditor.cs                                                               | C#         |        590 |         47 |        149 |        786 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonEditorUtils.cs                                                          | C#         |        215 |         45 |         44 |        304 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonGUI.cs                                                                  | C#         |        273 |         11 |         79 |        363 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonViewHandler.cs                                                          | C#         |        123 |         28 |         37 |        188 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonViewInspector.cs                                                        | C#         |        281 |         38 |         67 |        386 |
| f:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PunSceneSettings.cs                                                           | C#         |        131 |         16 |         31 |        178 |
