"filename", "language", "Django txt", "XML", "Markdown", "JSON", "Ini", "C#", "ShaderLab", "HLSL", "Django HTML", "comment", "blank", "total"
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChannelWellKnownProperties.cs", "C#", 0, 0, 0, 0, 0, 8, 0, 0, 0, 5, 2, 15
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatAppSettings.cs", "C#", 0, 0, 0, 0, 0, 21, 0, 0, 0, 20, 10, 51
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatChannel.cs", "C#", 0, 0, 0, 0, 0, 131, 0, 0, 0, 34, 28, 193
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatClient.cs", "C#", 0, 0, 0, 0, 0, 1263, 0, 0, 0, 338, 165, 1766
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatDisconnectCause.cs", "C#", 0, 0, 0, 0, 0, 20, 0, 0, 0, 21, 2, 43
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatEventCode.cs", "C#", 0, 0, 0, 0, 0, 17, 0, 0, 0, 20, 3, 40
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatOperationCode.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 0, 0, 18, 4, 38
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatParameterCode.cs", "C#", 0, 0, 0, 0, 0, 31, 0, 0, 0, 47, 7, 85
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatPeer.cs", "C#", 0, 0, 0, 0, 0, 215, 0, 0, 0, 148, 71, 434
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatState.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 0, 0, 18, 1, 37
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\ChatUserStatus.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 21, 2, 36
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\IChatClientListener.cs", "C#", 0, 0, 0, 0, 0, 27, 0, 0, 0, 99, 22, 148
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Code\changes-chat.txt", "Django txt", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 100
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\EventSystemSpawner.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 0, 0, 13, 3, 34
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\OnStartDelete.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11, 2, 24
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\TextButtonTransition.cs", "C#", 0, 0, 0, 0, 0, 38, 0, 0, 0, 20, 12, 70
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\Common\TextToggleIsOnTransition.cs", "C#", 0, 0, 0, 0, 0, 41, 0, 0, 0, 26, 19, 86
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\AppSettingsExtensions.cs", "C#", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\ChannelSelector.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\ChatAppIdCheckerUI.cs", "C#", 0, 0, 0, 0, 0, 32, 0, 0, 0, 10, 7, 49
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\ChatGui.cs", "C#", 0, 0, 0, 0, 0, 459, 0, 0, 0, 70, 117, 646
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\FriendItem.cs", "C#", 0, 0, 0, 0, 0, 64, 0, 0, 0, 5, 12, 81
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\IgnoreUiRaycastWhenInactive.cs", "C#", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonChat\Demos\DemoChat\NamePickGui.cs", "C#", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 10, 44
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\Photon3Unity3D.xml", "XML", 0, 2639, 0, 0, 0, 0, 0, 0, 0, 0, 72, 2711
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\WebSocket\SocketWebTcp.cs", "C#", 0, 0, 0, 0, 0, 209, 0, 0, 0, 27, 47, 283
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\WebSocket\WebSocket.cs", "C#", 0, 0, 0, 0, 0, 136, 0, 0, 0, 8, 33, 177
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\changes-library.txt", "Django txt", 1455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 1635
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\netstandard2.0\Photon3Unity3D.deps.json", "JSON", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 47
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonLibs\netstandard2.0\Photon3Unity3D.xml", "XML", 0, 2639, 0, 0, 0, 0, 0, 0, 0, 0, 72, 2711
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\AppSettings.cs", "C#", 0, 0, 0, 0, 0, 85, 0, 0, 0, 50, 19, 154
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\ConnectionHandler.cs", "C#", 0, 0, 0, 0, 0, 124, 0, 0, 0, 25, 37, 186
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Extensions.cs", "C#", 0, 0, 0, 0, 0, 121, 0, 0, 0, 65, 30, 216
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\FriendInfo.cs", "C#", 0, 0, 0, 0, 0, 27, 0, 0, 0, 12, 10, 49
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\LoadBalancingClient.cs", "C#", 0, 0, 0, 0, 0, 451, 0, 0, 0, 3572, 173, 4196
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\LoadbalancingPeer.cs", "C#", 0, 0, 0, 0, 0, 1053, 0, 0, 0, 749, 389, 2191
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\PhotonPing.cs", "C#", 0, 0, 0, 0, 0, 369, 0, 0, 0, 32, 76, 477
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\PhotonPingClasses.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Player.cs", "C#", 0, 0, 0, 0, 0, 230, 0, 0, 0, 164, 58, 452
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Region.cs", "C#", 0, 0, 0, 0, 0, 63, 0, 0, 0, 10, 17, 90
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\RegionHandler.cs", "C#", 0, 0, 0, 0, 0, 479, 0, 0, 0, 83, 106, 668
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\Room.cs", "C#", 0, 0, 0, 0, 0, 293, 0, 0, 0, 201, 65, 559
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\RoomInfo.cs", "C#", 0, 0, 0, 0, 0, 142, 0, 0, 0, 89, 44, 275
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\SupportLogger.cs", "C#", 0, 0, 0, 0, 0, 306, 0, 0, 0, 30, 63, 399
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\WebRpc.cs", "C#", 0, 0, 0, 0, 0, 123, 0, 0, 0, 44, 21, 188
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Code\changes-realtime.txt", "Django txt", 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 263
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonRealtime\Demos\DemoLoadBalancing\ConnectAndJoinRandomLb.cs", "C#", 0, 0, 0, 0, 0, 110, 0, 0, 0, 3, 28, 141
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\CustomTypes.cs", "C#", 0, 0, 0, 0, 0, 131, 0, 0, 0, 14, 32, 177
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\AccountService.cs", "C#", 0, 0, 0, 0, 0, 195, 0, 0, 0, 36, 23, 254
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonEditor.cs", "C#", 0, 0, 0, 0, 0, 590, 0, 0, 0, 47, 149, 786
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonEditorUtils.cs", "C#", 0, 0, 0, 0, 0, 215, 0, 0, 0, 45, 44, 304
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonGUI.cs", "C#", 0, 0, 0, 0, 0, 273, 0, 0, 0, 11, 79, 363
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonViewHandler.cs", "C#", 0, 0, 0, 0, 0, 123, 0, 0, 0, 28, 37, 188
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PhotonViewInspector.cs", "C#", 0, 0, 0, 0, 0, 281, 0, 0, 0, 38, 67, 386
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PunSceneSettings.cs", "C#", 0, 0, 0, 0, 0, 131, 0, 0, 0, 16, 31, 178
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\PunSceneSettingsInspector.cs", "C#", 0, 0, 0, 0, 0, 186, 0, 0, 0, 18, 56, 260
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\ReordableList\LICENSE.txt", "Django txt", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\ReordableList\ReorderableListResources.cs", "C#", 0, 0, 0, 0, 0, 134, 0, 0, 0, 71, 32, 237
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\ServerSettingsInspector.cs", "C#", 0, 0, 0, 0, 0, 219, 0, 0, 0, 15, 68, 302
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\MonoBehaviourPunEditor.cs", "C#", 0, 0, 0, 0, 0, 23, 0, 0, 0, 9, 9, 41
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\PhotonAnimatorViewEditor.cs", "C#", 0, 0, 0, 0, 0, 227, 0, 0, 0, 14, 55, 296
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\PhotonRigidbody2DViewEditor.cs", "C#", 0, 0, 0, 0, 0, 31, 0, 0, 0, 9, 10, 50
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\PhotonRigidbodyViewEditor.cs", "C#", 0, 0, 0, 0, 0, 31, 0, 0, 0, 9, 10, 50
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\PhotonTransformViewClassicEditor.cs", "C#", 0, 0, 0, 0, 0, 297, 0, 0, 0, 34, 81, 412
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Editor\Views\PhotonTransformViewEditor.cs", "C#", 0, 0, 0, 0, 0, 32, 0, 0, 0, 9, 11, 52
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Enums.cs", "C#", 0, 0, 0, 0, 0, 27, 0, 0, 0, 49, 18, 94
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PhotonHandler.cs", "C#", 0, 0, 0, 0, 0, 250, 0, 0, 0, 48, 75, 373
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PhotonNetwork.cs", "C#", 0, 0, 0, 0, 0, 1630, 0, 0, 0, 1167, 375, 3172
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PhotonNetworkPart.cs", "C#", 0, 0, 0, 0, 0, 1680, 0, 0, 0, 417, 387, 2484
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PhotonStreamQueue.cs", "C#", 0, 0, 0, 0, 0, 113, 0, 0, 0, 52, 32, 197
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PhotonView.cs", "C#", 0, 0, 0, 0, 0, 499, 0, 0, 0, 216, 126, 841
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\PunClasses.cs", "C#", 0, 0, 0, 0, 0, 531, 0, 0, 0, 457, 113, 1101
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\ServerSettings.cs", "C#", 0, 0, 0, 0, 0, 62, 0, 0, 0, 23, 15, 100
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Utilities\NestedComponentUtilities.cs", "C#", 0, 0, 0, 0, 0, 221, 0, 0, 0, 84, 81, 386
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Views\PhotonAnimatorView.cs", "C#", 0, 0, 0, 0, 0, 408, 0, 0, 0, 68, 96, 572
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Views\PhotonRigidbody2DView.cs", "C#", 0, 0, 0, 0, 0, 79, 0, 0, 0, 9, 23, 111
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Views\PhotonRigidbodyView.cs", "C#", 0, 0, 0, 0, 0, 80, 0, 0, 0, 9, 23, 112
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Views\PhotonTransformView.cs", "C#", 0, 0, 0, 0, 0, 98, 0, 0, 0, 9, 24, 131
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Code\Views\PhotonTransformViewClassic.cs", "C#", 0, 0, 0, 0, 0, 389, 0, 0, 0, 70, 98, 557
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\AsteroidsGame.cs", "C#", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 35
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game\Asteroid.cs", "C#", 0, 0, 0, 0, 0, 88, 0, 0, 0, 10, 25, 123
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game\AsteroidsGameManager.cs", "C#", 0, 0, 0, 0, 0, 192, 0, 0, 0, 17, 58, 267
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game\Bullet.cs", "C#", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game\PlayerOverviewPanel.cs", "C#", 0, 0, 0, 0, 0, 44, 0, 0, 0, 9, 14, 67
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Game\Spaceship.cs", "C#", 0, 0, 0, 0, 0, 146, 0, 0, 0, 19, 49, 214
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Lobby\LobbyMainPanel.cs", "C#", 0, 0, 0, 0, 0, 282, 0, 0, 0, 3, 76, 361
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Lobby\LobbyTopPanel.cs", "C#", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Lobby\PlayerListEntry.cs", "C#", 0, 0, 0, 0, 0, 72, 0, 0, 0, 9, 16, 97
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoAsteroids\Scripts\Lobby\RoomListEntry.cs", "C#", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 35
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoHub\Editor\PunStartup.cs", "C#", 0, 0, 0, 0, 0, 109, 0, 0, 0, 18, 26, 153
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoHub\Scripts\DemoHubManager.cs", "C#", 0, 0, 0, 0, 0, 258, 0, 0, 0, 11, 42, 311
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoHub\Scripts\ToDemoHubButton.cs", "C#", 0, 0, 0, 0, 0, 58, 0, 0, 0, 13, 22, 93
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\Block.cs", "C#", 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 1, 14
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\Cluster.cs", "C#", 0, 0, 0, 0, 0, 100, 0, 0, 0, 42, 36, 178
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\IngameControlPanel.cs", "C#", 0, 0, 0, 0, 0, 219, 0, 0, 0, 29, 21, 269
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\Noise.cs", "C#", 0, 0, 0, 0, 0, 273, 0, 0, 0, 66, 54, 393
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\ProceduralController.cs", "C#", 0, 0, 0, 0, 0, 63, 0, 0, 0, 9, 11, 83
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoProcedural\Scripts\WorldGenerator.cs", "C#", 0, 0, 0, 0, 0, 184, 0, 0, 0, 48, 57, 289
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Kenney Assets\Copyrights.txt", "Django txt", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\Bezier.cs", "C#", 0, 0, 0, 0, 0, 41, 0, 0, 0, 10, 5, 56
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\BezierControlPointMode.cs", "C#", 0, 0, 0, 0, 0, 8, 0, 0, 0, 10, 1, 19
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\BezierCurve.cs", "C#", 0, 0, 0, 0, 0, 29, 0, 0, 0, 10, 6, 45
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\BezierSpline.cs", "C#", 0, 0, 0, 0, 0, 263, 0, 0, 0, 22, 47, 332
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\Editor\BezierCurveInspector.cs", "C#", 0, 0, 0, 0, 0, 54, 0, 0, 0, 10, 9, 73
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\Editor\BezierSplineInspector.cs", "C#", 0, 0, 0, 0, 0, 127, 0, 0, 0, 10, 17, 154
"g:\SimpleRTS\SimpleRTS\Simplified_RTS\Assets\Photon\PhotonUnityNetworking\Demos\DemoSlotRacer\Scripts\BezierCurve\Editor\LineInspector.cs", "C#", 0, 0, 0, 0, 0, 33, 0, 0, 0, 10, 4, 47
