Date : 2021-05-20 12:11:05
Directory : g:\SimpleRTS\SimpleRTS\Simplified_RTS
Total : 670 files,  137011 codes, 39399 comments, 29389 blanks, all 205799 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| Assets\Plugins\AstarPathfindingProject\Plugins                                                                                                                      |          4 |         64 |          0 |         35 |         99 |
| Assets\Plugins\AstarPathfindingProject\Plugins\Clipper                                                                                                              |          1 |         20 |          0 |          3 |         23 |
| Assets\Plugins\AstarPathfindingProject\Plugins\DotNetZip                                                                                                            |          1 |         16 |          0 |         18 |         34 |
| Assets\Plugins\AstarPathfindingProject\Plugins\Poly2Tri                                                                                                             |          1 |         17 |          0 |          9 |         26 |
| Assets\Plugins\AstarPathfindingProject\RVO                                                                                                                          |          5 |        624 |        419 |        167 |      1,210 |
| Assets\Plugins\AstarPathfindingProject\TurnBased                                                                                                                    |          2 |        129 |         79 |         32 |        240 |
| Assets\Plugins\AstarPathfindingProject\Utilities                                                                                                                    |         13 |      1,504 |        606 |        381 |      2,491 |
| Assets\Plugins\HoudiniEngineUnity                                                                                                                                   |        105 |     43,458 |     10,420 |      8,997 |     62,875 |
| Assets\Plugins\HoudiniEngineUnity\Editor                                                                                                                            |         20 |      8,326 |      1,356 |      1,886 |     11,568 |
| Assets\Plugins\HoudiniEngineUnity\Editor\UI                                                                                                                         |         17 |      7,943 |      1,236 |      1,813 |     10,992 |
| Assets\Plugins\HoudiniEngineUnity\Scripts                                                                                                                           |         82 |     35,025 |      8,988 |      7,086 |     51,099 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Asset                                                                                                                     |         13 |      7,571 |      1,989 |      1,629 |     11,189 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Attributes                                                                                                                |          4 |        964 |        176 |        188 |      1,328 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Core                                                                                                                      |          8 |      3,773 |      1,008 |        642 |      5,423 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Examples                                                                                                                  |          5 |        518 |        337 |        145 |      1,000 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\HAPI                                                                                                                      |          3 |      2,660 |        279 |        550 |      3,489 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Handles                                                                                                                   |          2 |        372 |         65 |         96 |        533 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\PDG                                                                                                                       |          3 |      1,338 |        342 |        278 |      1,958 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Parameters                                                                                                                |          4 |      1,375 |        318 |        260 |      1,953 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Render                                                                                                                    |          3 |        623 |        179 |        135 |        937 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Sessions                                                                                                                  |          6 |      3,548 |      1,494 |        704 |      5,746 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Sync                                                                                                                      |          3 |        995 |        169 |        262 |      1,426 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Tasks                                                                                                                     |          6 |      1,517 |        391 |        351 |      2,259 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Tests                                                                                                                     |          1 |         18 |         28 |          6 |         52 |
| Assets\Plugins\HoudiniEngineUnity\Scripts\Utility                                                                                                                   |         20 |      9,707 |      2,178 |      1,814 |     13,699 |
| Assets\Plugins\HoudiniEngineUnity\Shaders                                                                                                                           |          3 |        107 |         76 |         25 |        208 |
| Assets\Quiz                                                                                                                                                         |          1 |        193 |          0 |          0 |        193 |
| Assets\Rendering                                                                                                                                                    |          8 |      1,790 |        345 |        536 |      2,671 |
| Assets\Rendering\ChinesePaintingPipeline                                                                                                                            |          1 |         12 |          2 |          5 |         19 |
| Assets\Rendering\Scripts                                                                                                                                            |          1 |         29 |          0 |          6 |         35 |
| Assets\Rendering\Shaders                                                                                                                                            |          5 |      1,694 |        341 |        514 |      2,549 |
| Assets\Rendering\Shaders\ChinesePainting                                                                                                                            |          2 |        778 |        218 |        220 |      1,216 |
| Assets\Rendering\Shaders\Sprites                                                                                                                                    |          2 |        578 |         79 |        190 |        847 |
| Assets\Rendering\Shaders\TestShader                                                                                                                                 |          1 |        338 |         44 |        104 |        486 |
| Assets\Scripts                                                                                                                                                      |         83 |      4,700 |      1,334 |      1,034 |      7,068 |
| Assets\Scripts\Controllers                                                                                                                                          |          2 |        109 |         53 |         28 |        190 |
| Assets\Scripts\Controllers\Camera                                                                                                                                   |          2 |        109 |         53 |         28 |        190 |
| Assets\Scripts\Effect                                                                                                                                               |          1 |         27 |         18 |          6 |         51 |
| Assets\Scripts\GameManager                                                                                                                                          |          3 |         95 |         48 |         24 |        167 |
| Assets\Scripts\Gameplay                                                                                                                                             |          4 |        159 |        103 |         39 |        301 |
| Assets\Scripts\Gameplay\EventSystem                                                                                                                                 |          2 |        113 |         62 |         25 |        200 |
| Assets\Scripts\Gameplay\ScienceTree                                                                                                                                 |          2 |         46 |         41 |         14 |        101 |
| Assets\Scripts\Init                                                                                                                                                 |          1 |         12 |          0 |          1 |         13 |
| Assets\Scripts\Loading                                                                                                                                              |          1 |         49 |         10 |         10 |         69 |
| Assets\Scripts\Network                                                                                                                                              |          2 |        198 |        108 |         56 |        362 |
| Assets\Scripts\Player                                                                                                                                               |          6 |        785 |        357 |        214 |      1,356 |
| Assets\Scripts\Render                                                                                                                                               |          1 |         41 |         12 |          8 |         61 |
| Assets\Scripts\Saver                                                                                                                                                |          8 |        342 |         67 |         69 |        478 |
| Assets\Scripts\Saver\Quiz                                                                                                                                           |          4 |         95 |          1 |         16 |        112 |
| Assets\Scripts\SoundsManager                                                                                                                                        |          1 |         26 |         12 |          4 |         42 |
| Assets\Scripts\StaticClasses                                                                                                                                        |          1 |         11 |          6 |          1 |         18 |
| Assets\Scripts\UI                                                                                                                                                   |         40 |      1,899 |         85 |        327 |      2,311 |
| Assets\Scripts\UI\ChineseSports                                                                                                                                     |         19 |      1,144 |         32 |        193 |      1,369 |
| Assets\Scripts\UI\ChineseSports\Battle                                                                                                                              |          6 |        359 |          6 |         57 |        422 |
| Assets\Scripts\UI\ChineseSports\Main                                                                                                                                |         11 |        719 |         26 |        128 |        873 |
| Assets\Scripts\UI\ChineseSports\Main\QuizUI                                                                                                                         |          4 |        238 |          5 |         44 |        287 |
| Assets\Scripts\UI\ChineseSports\Start                                                                                                                               |          2 |         66 |          0 |          8 |         74 |
| Assets\Scripts\UI\Local                                                                                                                                             |          3 |        236 |         12 |         38 |        286 |
| Assets\Scripts\UI\Online                                                                                                                                            |          3 |         63 |         26 |         11 |        100 |
| Assets\Scripts\UI\ScienceTree                                                                                                                                       |          2 |         47 |          0 |          8 |         55 |
| Assets\Scripts\UI\Tutorial                                                                                                                                          |          2 |        111 |          2 |         17 |        130 |
| Assets\Scripts\Units                                                                                                                                                |         11 |        909 |        452 |        242 |      1,603 |
| Assets\Scripts\Units\Melee                                                                                                                                          |          1 |        134 |         84 |         40 |        258 |
| Assets\Scripts\Units\RangedAttack                                                                                                                                   |          2 |        236 |         94 |         64 |        394 |
| Assets\Scripts\Video                                                                                                                                                |          1 |         38 |          3 |          5 |         46 |
| Packages                                                                                                                                                            |          2 |        445 |          0 |          2 |        447 |
| ProjectSettings                                                                                                                                                     |          3 |        142 |          0 |          1 |        143 |
| ProjectSettings\Packages                                                                                                                                            |          2 |        140 |          0 |          0 |        140 |
| ProjectSettings\Packages\com.unity.probuilder                                                                                                                       |          1 |        133 |          0 |          0 |        133 |
| ProjectSettings\Packages\com.unity.settings-manager                                                                                                                 |          1 |          7 |          0 |          0 |          7 |
